ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.9015,4.063,4.0785,0.49435,0.8797,0.56475,0.81883,1.79889,0.38053,0.31159,9.73266,11.09905
0.6351,2.9329,2.5625,0.52464,1.45702,0.86851,2.09835,1.97599,0.23045,0.48357,7.79339,9.62088
0.6703,3.258,3.8716,0.67015,1.93381,1.27892,6.394,2.43866,0.09582,0.61269,7.67459,9.48203
0.7788,1.2503,0.3971,0.4362,1.05092,0.2527,0.74754,0.68771,0.44645,0.33374,7.02103,7.25619
0.8737,1.4063,4.0845,0.79576,0.64576,1.32824,1.09428,2.196,0.28309,0.30978,8.25573,10.44037
0.7542,2.1135,0.4913,0.5951,1.04973,0.33715,0.77069,0.5921,0.39909,0.30757,4.6894,4.21822
0.9865,1.1941,3.3548,0.66954,0.55725,0.88195,0.6873,1.57976,0.44406,0.3052,9.26155,10.38297
0.8451,3.9222,2.6394,0.45283,0.89468,0.56739,0.74041,1.36209,0.42741,0.31646,8.84901,9.70699
0.6793,1.8938,2.5003,0.72219,1.44437,1.57544,2.30663,2.04456,0.20751,0.47864,6.09096,7.41115
0.8544,1.3485,3.8744,0.77086,0.67984,1.36523,1.06244,2.25379,0.29445,0.31284,8.07207,10.23121
0.8754,1.8277,1.7528,0.49832,0.8519,0.4744,0.75665,1.1477,0.43401,0.32839,8.65919,9.08374
0.9873,1.8049,0.1058,0.44395,1.03193,0.04063,0.79247,0.09497,0.42508,0.33686,6.75796,6.38611
0.8927,2.7024,1.5126,0.41945,0.87931,0.31064,0.71025,1.03062,0.45504,0.32319,9.47269,9.64363
0.9849,2.259,0.7424,0.38034,1.01781,0.22694,0.69518,0.79346,0.46967,0.3265,8.21704,8.12768
0.7274,1.2343,4.1248,0.79406,1.58957,1.69889,8.0,2.62919,0.06412,0.52362,7.80394,10.01053
0.7743,3.37,1.7512,0.43145,0.97584,0.4145,0.73958,1.19801,0.42692,0.31574,8.47224,8.49207
0.7917,3.745,4.3759,0.61183,1.65102,0.99244,4.08746,2.13816,0.12982,0.53062,8.25888,10.37999
0.8594,2.6719,2.2623,0.45358,0.76532,0.45335,0.66434,1.31994,0.47708,0.31694,9.92176,10.49801
0.8484,1.3666,2.7257,0.6426,0.87544,1.05355,1.03721,1.68032,0.32308,0.3351,7.24105,9.03345
0.9303,1.3089,4.2252,0.76626,0.65315,1.12372,0.97476,2.0393,0.31536,0.3074,8.16942,10.22842
0.7742,1.2257,1.5099,0.66244,0.88256,0.90076,0.97526,1.37567,0.33188,0.32367,5.93111,6.19047
0.7412,1.5679,2.8782,0.66903,0.9688,1.01295,1.4254,2.00669,0.25696,0.36627,7.52888,9.61162
0.9903,1.0614,2.2405,0.59463,0.67359,0.66004,0.74067,1.3695,0.42754,0.31667,8.99089,10.31891
0.7122,1.4565,3.7147,0.78815,1.79455,2.04161,6.65933,2.85167,0.08509,0.56663,7.03425,9.01129
0.6686,3.2162,3.4876,0.60832,1.80338,0.93982,5.1014,2.18689,0.11327,0.57786,8.23442,10.2921
0.6365,2.4893,3.4715,0.66426,1.84488,1.14443,8.0,2.3453,0.05865,0.59506,8.41877,10.07826
0.6296,3.5351,2.0274,0.5005,1.6449,0.78514,1.75392,1.57505,0.25384,0.44521,7.08055,7.65782
0.8685,1.9085,2.74,0.60281,0.76099,0.837,0.83399,1.48598,0.38124,0.31795,8.04796,9.70486
0.7326,4.2057,0.7032,0.38548,1.07175,0.27098,0.62745,0.86917,0.4778,0.29979,7.06044,6.73948
